,N_hidden,a_train,a_val,c_train,c_val,decay rate,epochs,last_a_train,last_a_val,last_c_train,last_c_val,learning rate,momentum
0,50,"[0.3541, 0.4209, 0.4707, 0.4893, 0.5146, 0.5586, 0.5494, 0.5729, 0.602, 0.6135]","[0.3431, 0.3822, 0.406, 0.4204, 0.4218, 0.4344, 0.4189, 0.4255, 0.428, 0.4315]","[1.813334935880802, 1.625892608174393, 1.5127091152041767, 1.4255842732929935, 1.3724897476760798, 1.270905899255395, 1.3011344967532879, 1.2112978237387282, 1.1341238519959551, 1.1198820579667224]","[1.8559853381188633, 1.7378037900327135, 1.6842033014554625, 1.6713466792350082, 1.691049838918535, 1.6429828091598122, 1.7416058727103645, 1.72519783464207, 1.7181963609428392, 1.7868973259609164]",0.995,10,0.6135,0.4315,1.1198820579667224,1.7868973259609164,0.17437019058539147,0.8
0,50,"[0.2952, 0.3811, 0.4158, 0.4442, 0.4837, 0.5136, 0.5249, 0.5506, 0.5604, 0.5766]","[0.2772, 0.3655, 0.3892, 0.3964, 0.4171, 0.4318, 0.4309, 0.4447, 0.4375, 0.4437]","[1.936272541775763, 1.7274844664523545, 1.6253517458594091, 1.5521298622252877, 1.4711737864682324, 1.3997948795913442, 1.3596728176417732, 1.286382231633573, 1.2601970136585707, 1.2063393628337913]","[1.967445505551125, 1.783686386163886, 1.7162780250093925, 1.6927443275980796, 1.6557671416932125, 1.6344929985503127, 1.6361869437714134, 1.6097950579174147, 1.634030167374885, 1.6288643005040713]",0.995,10,0.5766,0.4437,1.2063393628337913,1.6288643005040713,0.09511101304657718,0.8
0,50,"[0.3695, 0.4409, 0.4643, 0.5006, 0.4983, 0.5463, 0.5558, 0.5942, 0.6198, 0.6232]","[0.3452, 0.3864, 0.399, 0.4093, 0.3843, 0.4183, 0.4128, 0.4176, 0.4185, 0.4144]","[1.7708991464403208, 1.5852546677922674, 1.5340983493152434, 1.4353973570143743, 1.4122332168444334, 1.2796855642978715, 1.259793579111069, 1.1643244772701165, 1.1086913288250775, 1.0796470267664497]","[1.847819183021239, 1.7473142662141574, 1.7914322157090354, 1.7425576464497987, 1.8211539322498695, 1.7549621115648522, 1.8117512073100777, 1.7898898239197234, 1.818769744503429, 1.8909544933944729]",0.995,10,0.6232,0.4144,1.0796470267664497,1.8909544933944729,0.3328885456630202,0.8
0,50,"[0.3608, 0.4246, 0.4883, 0.4991, 0.5408, 0.5342, 0.575, 0.5966, 0.6319, 0.6161]","[0.3397, 0.376, 0.4169, 0.4126, 0.4162, 0.4095, 0.4256, 0.4225, 0.4277, 0.4141]","[1.7619255108872167, 1.624679875607723, 1.4568587280097591, 1.4105763881239888, 1.3133191900008974, 1.3242215214455457, 1.2138540169533163, 1.1536547907218582, 1.0655188116020458, 1.0928341138385773]","[1.8280515964355284, 1.7749398765340738, 1.6800192536660767, 1.7026297546476212, 1.6729252019269636, 1.7568389077501474, 1.735615074287848, 1.7468109807572731, 1.7649478128389764, 1.8560334046722655]",0.995,10,0.6161,0.4141,1.0928341138385773,1.8560334046722655,0.2536293681242058,0.8
0,50,"[0.357, 0.4184, 0.4671, 0.5032, 0.5294, 0.5508, 0.5604, 0.594, 0.6136, 0.6111]","[0.3393, 0.383, 0.4111, 0.421, 0.4291, 0.432, 0.4176, 0.4333, 0.4309, 0.4236]","[1.8109132323583483, 1.6256888057459, 1.4999137023965803, 1.4153321760536413, 1.3502859699807006, 1.2819617328408917, 1.2465011453635655, 1.1553077484854053, 1.1151403304658478, 1.1367835311047831]","[1.8626400049651526, 1.7384657478499175, 1.6786619437911021, 1.658996671174451, 1.6578854660185545, 1.6676155930420944, 1.6974054217992873, 1.680087960975225, 1.6973851699012248, 1.8093806605487945]",0.995,10,0.6111,0.4236,1.1367835311047831,1.8093806605487945,0.17437019058539147,0.8
0,50,"[0.3086, 0.3815, 0.4208, 0.4516, 0.4849, 0.5065, 0.5074, 0.5355, 0.5669, 0.5729]","[0.289, 0.3613, 0.3896, 0.3989, 0.4197, 0.4232, 0.4188, 0.4262, 0.4366, 0.433]","[1.9402010620520138, 1.735820127023482, 1.6142560121827012, 1.5512030164977926, 1.4655285588518405, 1.4016264989933405, 1.3919850578073933, 1.3323960095894123, 1.2567978604724457, 1.230932839668464]","[1.968741966831576, 1.7915471412762105, 1.7167779087449162, 1.695873902553159, 1.6518145347584672, 1.643442317017816, 1.6690925224676811, 1.6589578531819642, 1.629550699121441, 1.6540033916240227]",0.995,10,0.5729,0.433,1.230932839668464,1.6540033916240227,0.09511101304657718,0.8
0,50,"[0.3813, 0.4472, 0.4617, 0.5033, 0.5298, 0.558, 0.5742, 0.5602, 0.5941, 0.6216]","[0.3529, 0.3968, 0.3909, 0.4116, 0.4061, 0.4155, 0.4167, 0.394, 0.4095, 0.4121]","[1.7181980028031696, 1.570248762873281, 1.5090891957495962, 1.4119578204166041, 1.3365909048337552, 1.2585528254755574, 1.2136644204442135, 1.2461717338868024, 1.1431050476978086, 1.0755307203759918]","[1.795213550069513, 1.7417302908541474, 1.752572179001559, 1.7311953564209464, 1.7477866731701128, 1.7307714260516347, 1.7895220691540068, 1.8750457222522805, 1.8610334450343808, 1.8843714739828399]",0.995,10,0.6216,0.4121,1.0755307203759918,1.8843714739828399,0.3328885456630202,0.8
0,50,"[0.3699, 0.4259, 0.4817, 0.4971, 0.5402, 0.5682, 0.5521, 0.578, 0.5945, 0.6196]","[0.3523, 0.3907, 0.4145, 0.417, 0.4191, 0.4297, 0.4143, 0.4091, 0.4119, 0.4275]","[1.7485478010370046, 1.5952161753026506, 1.4666222712698156, 1.4046773773227972, 1.3044553769321785, 1.2455360503513762, 1.285137177130178, 1.2024073694434247, 1.1551772222225074, 1.075784665671023]","[1.8149009772444842, 1.7375229570820487, 1.6738200252283921, 1.6926695967187952, 1.6707877883856508, 1.6829168425213985, 1.829151397455217, 1.7709140322809054, 1.849878499599866, 1.8102674945133022]",0.995,10,0.6196,0.4275,1.075784665671023,1.8102674945133022,0.2536293681242058,0.8
0,50,"[0.3471, 0.4337, 0.4606, 0.5025, 0.5191, 0.5496, 0.552, 0.5802, 0.5924, 0.6085]","[0.3411, 0.3947, 0.4028, 0.4214, 0.424, 0.4262, 0.4157, 0.4258, 0.4269, 0.4296]","[1.8164592079732789, 1.6172234714569758, 1.5260820482066526, 1.4190492392615817, 1.3610440683298028, 1.2843372940040503, 1.2726675356722397, 1.1859998672176821, 1.154834504280374, 1.1528577278760985]","[1.8578263884262582, 1.7184641399759395, 1.69554604645586, 1.6483179508985228, 1.6626993600347457, 1.6607716249900273, 1.720849984560598, 1.6958528878782646, 1.7288673746010303, 1.7850602012555763]",0.995,10,0.6085,0.4296,1.1528577278760985,1.7850602012555763,0.17437019058539147,0.8
0,50,"[0.2907, 0.374, 0.4262, 0.4462, 0.4717, 0.5172, 0.5303, 0.5297, 0.5512, 0.5687]","[0.2783, 0.3567, 0.392, 0.4063, 0.4102, 0.4287, 0.4337, 0.4258, 0.4279, 0.4217]","[1.9390050201364422, 1.7456509269706537, 1.6242027065500892, 1.5460738028536942, 1.483886820232925, 1.402892694094272, 1.349500569404547, 1.3351283260422506, 1.2637784253415274, 1.240079504836732]","[1.9677247211200302, 1.8002864587136334, 1.7211721568883205, 1.6842923668666627, 1.6672960432521493, 1.6347195268197738, 1.6240668756012684, 1.6519579891294933, 1.6402673285443983, 1.6617481317753307]",0.995,10,0.5687,0.4217,1.240079504836732,1.6617481317753307,0.09511101304657718,0.8
