,N_hidden,a_train,a_val,c_train,c_val,decay rate,epochs,lam,last_a_train,last_a_val,last_c_train,last_c_val,learning rate,momentum
0,50,"[0.1029, 0.1016, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005]","[0.1008, 0.0995, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984]","[404751.38232095004, 159718.46427585644, nan, nan, nan, nan, nan, nan, nan, nan]","[404751.3841560072, 159718.46478518692, nan, nan, nan, nan, nan, nan, nan, nan]",0.99,10,0.005,0.1005,0.0984,,,0.09043820750088044,0.99
0,50,"[0.1016, 0.1032]","[0.0995, 0.101]","[517708.6680021973, 2059105.4346669372]","[517708.1620614853, 2059105.434685126]",0.99,10,0.005,0.1032,0.101,2059105.4346669372,2059105.434685126,0.081691335,0.99
0,50,"[0.1032, 0.0937, 0.1032, 0.1004, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005]","[0.101, 0.0988, 0.101, 0.0983, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984]","[97248.09378883414, 262205.4133678218, 70567.1612165163, nan, nan, nan, nan, nan, nan, nan]","[97248.09658424521, 262205.41230283683, 70567.16400265295, nan, nan, nan, nan, nan, nan, nan]",0.99,10,0.005,0.1005,0.0984,,,0.06032228440308726,0.99
0,50,"[0.1032, 0.1025, 0.1032, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005]","[0.101, 0.0987, 0.101, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984]","[136575.92650770862, 195723.72503324135, 48852.38915885509, nan, nan, nan, nan, nan, nan, nan]","[136575.927544957, 195723.7254638957, 48852.390064855295, nan, nan, nan, nan, nan, nan, nan]",0.99,10,0.005,0.1005,0.0984,,,0.045264322854190665,0.99
0,50,"[0.103, 0.1005, 0.103, 0.0999, 0.103]","[0.1008, 0.0984, 0.1008, 0.101, 0.1007]","[4095.0526831371194, 7996.805530879379, 4789.315765941421, 736.5492613640959, 28252.653857064284]","[4095.053531203212, 7996.806446423087, 4789.316101311032, 736.5501823751007, 28252.654417294663]",0.99,10,0.005,0.103,0.1007,28252.653857064284,28252.654417294663,0.03176306766666,0.99
0,50,"[0.103, 0.103]","[0.1008, 0.1008]","[183.03152377308277, 587.4461679159382]","[183.03204742660867, 587.447017491085]",0.99,10,0.005,0.103,0.1008,587.4461679159382,587.447017491085,0.016416675,0.99
0,50,"[0.1055, 0.1287, 0.1276, 0.1605, 0.1244, 0.103, 0.1029, 0.1033, 0.1043]","[0.1016, 0.1267, 0.1258, 0.1519, 0.1204, 0.1008, 0.1009, 0.1009, 0.1016]","[2.364559312427637, 2.3293596330842754, 2.321693403609043, 2.381983451395201, 2.524564573216757, 4.936266005235658, 3.226668511461224, 6.414424340571347, 10.30983232969368]","[2.366323592616033, 2.333103121366011, 2.3265269876713215, 2.385028911140875, 2.5303253843687057, 4.892627015372602, 3.2268419363585865, 6.414621003235084, 10.310059467232936]",0.99,10,0.005,0.1043,0.1016,10.30983232969368,10.310059467232936,9.13517247483641e-05,0.99
0,50,"[0.1032, 0.103, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005]","[0.101, 0.1008, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984]","[83168.7656401786, 46902.32727786283, nan, nan, nan, nan, nan, nan, nan, nan]","[83168.76607774523, 46902.32878312049, nan, nan, nan, nan, nan, nan, nan, nan]",0.99,10,0.00425,0.1005,0.0984,,,0.09043820750088044,0.99
0,50,"[0.103, 0.0999, 0.0981, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005]","[0.1008, 0.101, 0.0985, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984]","[629625.5398181621, 536944.8703702956, 7248.746145931608, nan, nan, nan, nan, nan, nan, nan]","[629625.5415070194, 536944.8690995852, 7248.749208486961, nan, nan, nan, nan, nan, nan, nan]",0.99,10,0.00425,0.1005,0.0984,,,0.07538024595198387,0.99
0,50,"[0.0999, 0.1005, 0.1032, 0.0938]","[0.101, 0.0984, 0.101, 0.0937]","[2056.815153313446, 2411.8020377936605, 328.56964652321636, 526849.2045791352]","[2056.8158183164614, 2411.8024249205882, 328.56993759308335, 526849.2015217317]",0.99,10,0.00425,0.0938,0.0937,526849.2045791352,526849.2015217317,0.06407175386700001,0.99
0,50,"[0.1032, 0.1005, 0.1025, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005]","[0.101, 0.0984, 0.0987, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984]","[184189.66435896876, 303328.8662527814, 122254.05102640479, 3546.274990524782, nan, nan, nan, nan, nan, nan]","[184189.6649544932, 303328.8669737877, 122254.05198929846, 3546.277872246141, nan, nan, nan, nan, nan, nan]",0.99,10,0.00425,0.1005,0.0984,,,0.045264322854190665,0.99
0,50,"[0.1033, 0.1005, 0.1032, 0.1001, 0.163, 0.0999, 0.1001]","[0.1011, 0.0984, 0.101, 0.1026, 0.155, 0.101, 0.1026]","[12302.962389518487, 25980.445308428072, 18897.579071190357, 5346.715859777758, 32.940025517668424, 26133.427544663173, 60794.07596652573]","[12302.962550898068, 25980.44672701981, 18897.57925594423, 5346.7165263037095, 32.94232375792022, 26133.430810110298, 60794.074617702776]",0.99,10,0.00425,0.1001,0.1026,60794.07596652573,60794.074617702776,0.031130982620093464,0.99
0,50,"[0.103, 0.1032]","[0.1008, 0.101]","[231.38330444894066, 1160.2845823757834]","[231.38357901262108, 1160.2856145775354]",0.99,10,0.00425,0.1032,0.101,1160.2845823757834,1160.2856145775354,0.016416675,0.99
0,50,"[0.1307, 0.1298, 0.1327, 0.0999]","[0.1256, 0.1292, 0.1323, 0.101]","[2.352009327664607, 2.3289242296922423, 2.2982045400057975, 20.740810553985636]","[2.3534414163684425, 2.3336884209823032, 2.305086802930745, 20.48999971254402]",0.99,10,0.00425,0.0999,0.101,20.740810553985636,20.48999971254402,9.605960100000001e-05,0.99
0,50,"[0.1005, 0.1016, 0.1016, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005]","[0.0984, 0.0995, 0.0995, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984]","[530162.1722817932, 479423.423837965, 148764.9366713354, nan, nan, nan, nan, nan, nan, nan]","[530162.1740882455, 479423.42454369186, 148764.93445005978, nan, nan, nan, nan, nan, nan, nan]",0.99,10,0.0034999999999999996,0.1005,0.0984,,,0.09043820750088044,0.99
0,50,"[0.1025, 0.103, 0.1025, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005, 0.1005]","[0.0987, 0.1008, 0.0987, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984, 0.0984]","[232872.3537010943, 283793.41706802405, 36534.951981002465, nan, nan, nan, nan, nan, nan, nan]","[232872.35464079538, 283793.41812482884, 36534.95246407379, nan, nan, nan, nan, nan, nan, nan]",0.99,10,0.0034999999999999996,0.1005,0.0984,,,0.07538024595198387,0.99
0,50,"[0.1032, 0.0981, 0.1025, 0.0996, 0.1016]","[0.101, 0.0985, 0.0987, 0.0964, 0.0995]","[30082.092196933056, 71627.35890494144, 33994.869642947844, nan, 152659.8260240624]","[30082.094039338084, 71627.35807374645, 33994.87125836052, nan, 152659.8201257656]",0.99,10,0.0034999999999999996,0.1016,0.0995,152659.8260240624,152659.8201257656,0.06343103632833001,0.99
0,50,"[0.103, 0.0981, 0.103, 0.1025, 0.1032, 0.1005]","[0.1008, 0.0985, 0.1008, 0.0987, 0.101, 0.0984]","[77944.59127728181, 145459.35586458046, 80373.57254212399, 9128.31337550118, 75341.4400061841, 476848.1851922594]","[77944.59227284623, 145459.35620449847, 80373.57345682329, 9128.31396891103, 75341.44181911695, 476848.1872674172]",0.99,10,0.0034999999999999996,0.1005,0.0984,476848.1851922594,476848.1872674172,0.047121081477520046,0.99
0,50,"[0.103, 0.1025, 0.0999, 0.1032, 0.1025, 0.1007, 0.1032]","[0.1008, 0.0987, 0.101, 0.101, 0.0987, 0.0985, 0.101]","[29521.136430860934, 65779.39690487042, 56539.47645452481, 25052.56757021407, 4236.390409179424, 12497.330411377494, 141398.58373771014]","[29521.137089863903, 65779.39807897116, 56539.47635014624, 25052.56858755814, 4236.39132715267, 12497.331995412149, 141398.5862793509]",0.99,10,0.0034999999999999996,0.1032,0.101,141398.58373771014,141398.5862793509,0.031130982620093464,0.99
0,50,"[0.103, 0.103]","[0.1008, 0.1008]","[4278.684276601259, 13867.86889872894]","[4278.684716537083, 13867.869969618981]",0.99,10,0.0034999999999999996,0.103,0.1008,13867.86889872894,13867.869969618981,0.016416675,0.99
